PREDICT,TRUE,ERROR
870,820,-50
1360,1360,0
882,1360,478
0,0,0
1240,1240,0
853,850,-3
590,590,0
540,540,0
550,550,0
1060,1060,0
1230,1230,0
740,760,20
580,580,0
730,730,0
540,540,0
1230,1230,0
432,430,-2
1360,1360,0
0,0,0
1230,1230,0
590,590,0
730,730,0
740,740,0
530,530,0
1030,1030,0
530,530,0
660,660,0
671,670,-1
1030,1030,0
1219,1230,11
849,870,21
734,740,6
690,690,0
0,0,0
690,690,0
1360,1360,0
1070,1070,0
900,900,0
730,730,0
1360,1360,0
536,530,-6
638,590,-48
696,690,-6
810,810,0
530,530,0
790,790,0
1230,1230,0
640,640,0
540,540,0
1360,1360,0
1000,1000,0
760,760,0
469,480,11
760,760,0
725,740,15
682,700,18
900,900,0
400,400,0
500,500,0
875,900,25
780,780,0
706,810,104
734,740,6
550,550,0
700,700,0
700,700,0
585,590,5
500,500,0
1360,1360,0
677,690,13
430,430,0
606,580,-26
1230,1230,0
700,700,0
760,760,0
430,430,0
744,740,-4
1030,1030,0
430,430,0
680,680,0
500,500,0
1030,1030,0
0,0,0
757,760,3
560,560,0
0,0,0
680,1230,550
760,760,0
1192,1000,-192
112,0,-112
530,530,0
907,890,-17
900,900,0
630,630,0
480,480,0
430,430,0
530,530,0
430,430,0
820,820,0
620,620,0
930,910,-20
430,430,0
700,700,0
1000,1000,0
740,740,0
550,550,0
1030,1030,0
1230,1230,0
820,820,0
0,0,0
530,530,0
430,430,0
658,660,2
610,610,0
260,260,0
1030,1030,0
1230,1230,0
881,850,-31
430,430,0
832,870,38
754,680,-74
525,530,5
1030,1030,0
824,820,-4
590,590,0
656,670,14
550,550,0
1230,1230,0
370,370,0
1030,1030,0
530,530,0
760,760,0
427,430,3
395,370,-25
530,530,0
621,620,-1
430,430,0
1230,1230,0
530,530,0
521,530,9
620,620,0
915,940,25
560,560,0
820,820,0
690,690,0
0,0,0
430,430,0
700,700,0
560,560,0
1230,1230,0
740,740,0
529,530,1
997,1240,243
500,500,0
500,500,0
430,430,0
1060,1060,0
525,520,-5
690,690,0
900,900,0
560,560,0
1360,1360,0
438,430,-8
1030,1030,0
590,590,0
730,730,0
1360,1360,0
1360,1360,0
1030,1030,0
641,690,49
910,910,0
530,530,0
520,520,0
586,580,-6
560,560,0
540,540,0
530,530,0
1230,1230,0
850,850,0
449,520,71
810,810,0
883,900,17
1230,1230,0
580,580,0
529,530,1
430,430,0
760,760,0
430,430,0
540,540,0
560,560,0
427,430,3
600,590,-10
620,620,0
430,430,0
1230,1230,0
656,670,14
660,660,0
430,430,0
760,760,0
430,430,0
647,660,13
703,690,-13
520,520,0
982,1000,18
700,700,0
900,900,0
745,760,15
740,740,0
530,530,0
690,690,0
781,780,-1
870,870,0
647,620,-27
940,940,0
640,640,0
700,700,0
461,430,-31
950,940,-10
1240,1240,0
400,400,0
430,430,0
580,580,0
663,660,-3
968,1060,92
740,740,0
520,520,0
690,690,0
560,560,0
700,700,0
93,0,-93
862,890,28
477,530,53
787,780,-7
430,430,0
480,480,0
810,810,0
610,610,0
740,740,0
640,610,-30
590,590,0
500,500,0
699,640,-59
430,430,0
956,790,-166
530,530,0
0,0,0
1360,1360,0
550,550,0
541,530,-11
1360,1360,0
700,700,0
566,520,-46
620,620,0
742,740,-2
744,730,-14
1230,1230,0
530,530,0
610,610,0
700,700,0
644,660,16
506,530,24
530,530,0
367,350,-17
899,900,1
760,760,0
430,430,0
500,500,0
760,760,0
740,740,0
1240,1240,0
757,810,53
1230,1230,0
670,670,0
483,480,-3
760,760,0
760,760,0
634,730,96
760,760,0
620,620,0
626,620,-6
814,820,6
430,430,0
944,940,-4
660,660,0
533,530,-3
560,530,-30
820,820,0
430,430,0
580,580,0
485,480,-5
485,480,-5
820,820,0
764,760,-4
700,700,0
1030,1030,0
562,560,-2
430,430,0
700,700,0
1360,1360,0
530,530,0
530,530,0
881,900,19
370,370,0
1230,1230,0
1230,1230,0
1230,1230,0
689,690,1
780,780,0
545,550,5
514,500,-14
940,940,0
630,630,0
530,530,0
730,730,0
1060,1060,0
1060,1060,0
430,430,0
760,760,0
370,370,0
1240,1240,0
560,560,0
521,520,-1
1360,1360,0
500,500,0
820,820,0
647,660,13
430,430,0
590,590,0
1030,1030,0
530,530,0
534,530,-4
530,530,0
930,930,0
1240,1240,0
1070,1070,0
500,500,0
1230,1230,0
1230,1230,0
774,760,-14
690,690,0
0,0,0
550,520,-30
1230,1230,0
1030,1030,0
530,530,0
530,530,0
590,590,0
1030,1030,0
0,0,0
530,530,0
922,1060,138
530,530,0
1230,1230,0
530,530,0
758,790,32
890,890,0
518,520,2
427,430,3
520,520,0
574,580,6
1060,1060,0
928,940,12
543,530,-13
1360,1360,0
530,530,0
